Problem Set Id,Problem Part,Problem Type,Answer Types,Problem Body,Fill-in Options,Fill-in Answers,Multiple Choice Options,Multiple Choice Answers,problem_id
PSBBSBU,2,Multiple Choice (select 1),Multiple Choice,<p>Priya says her elevation is less than the submarine&rsquo;s and she is closer to sea level. Is this possible?&nbsp;</p>,,,"Yes, it is possible. || No, it is not possible","No, it is not possible",254509
PSBS9Q,1,Multiple Choice (select 1),Multiple Choice,"<p>Decide whether the&nbsp;equation is true or false.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#160;</mo><mn>6</mn><mo>+</mo><mo>&#160;</mo><mo>&#160;</mo><mn>6</mn><mo>&#160;</mo><mo>+</mo><mo>&#8201;</mo><mn>6</mn><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><msup><mn>6</mn><mn>3</mn></msup></math></p>",,0,True || False,FALSE,85308
PRABFKT4,1,Multiple Choice (select all),Check All That Apply,"<p>Here is a histogram that summarizes the lengths, in feet, of a group of adult female sharks. Select <strong>all</strong>&nbsp;the statements that are true, according to the&nbsp;histogram.</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/297cd5ab-2725-479c-9629-f5ac2ec68541.jpeg"" alt=""A histogram, length in feet, from 13 to 17 point 5 by point fives. Beginning at 13 up to but not including 13 point 5, the height of the bar for each interval is 1, 1, 4, 10, 10, 9, 10, 4, 1."" width=""348"" height=""274""></p>",,,<p>A total of 9 sharks were measured.</p> || <p>A total of 50 sharks were measured.</p> || <p>The longest shark that was measured was 10 feet long.</p> || <p>Most of the sharks that were measured were over 16 feet long.</p> || <p>Two of the sharks that were measured were less than 14 feet long.</p>,<p>A total of 50 sharks were measured.</p> || <p>Two of the sharks that were measured were less than 14 feet long.</p>,65434
PSBBHT5,1,Multiple Choice (select 1),Multiple Choice,"<p>Which is bigger, a quart or a liter?</p>",,,quart || liter,liter,213216
PSBB6PY,1,Multiple Choice (select 1),Multiple Choice,"<p>Para cada pareja de n&uacute;meros, llena el espacio con &lt;, =, o &gt; seg&uacute;n corresponda.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0</mn><mo>.</mo><mn>75</mn><mo>&#160;</mo><menclose notation=""bottom""><mo>&#160;</mo><mo>&#160;</mo><mo>&#160;</mo><mo>&#160;</mo><mo>&#160;</mo><mo>&#160;</mo><mo>&#160;</mo><mo>&#160;</mo></menclose><mo>&#160;</mo><mfrac><mn>3</mn><mn>4</mn></mfrac></math></p>",,,&lt; || = || &gt;,=,323658
PRABQPME,1,Multiple Choice (select all),Check All That Apply,"<p>Elena would like to know the average height of seventh graders in her school district. She measures the heights of everyone in a random sample of 20 students. The mean height of Elena&rsquo;s sample is 61 inches, and the MAD (mean absolute deviation) is 2 inches.</p>
<p>&nbsp;</p>
<p>Select&nbsp;<strong>all</strong><em>&nbsp;</em>the true statements.</p>",,,The median height of the sample must be between 59 and 63 inches. || Another random sample of 20 students is likely to have a mean between 57 and 65 inches. || The mean height of these 20 students is likely to be the same as the mean height of all students in the district. || The mean height of these 20 students is likely to be the same as the mean height of a second random sample of 20 students. || Elena would be more likely to get an accurate estimate of the mean height of the population by sampling 40 people instead of sampling 20 people.,Another random sample of 20 students is likely to have a mean between 57 and 65 inches. || Elena would be more likely to get an accurate estimate of the mean height of the population by sampling 40 people instead of sampling 20 people.,99112
PRABEVTD,1,Multiple Choice (select all),Check All That Apply,"<p>This graph shows the temperature in Diego&rsquo;s house between noon and midnight one day.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/160486.jpg"" alt=""A graph showing time in hours after noon versus temperature in Fahrenheit. A line is plotted. "" width=""450"" height=""246""></p>
<p>&nbsp;</p>
<p>Select&nbsp;<strong>all</strong>&nbsp;the true statements.</p>",,,Time is a function of temperature. || The lowest temperature occurred between 4:00 and 5:00. || The temperature was increasing between 9:00 and 10:00. || The temperature was 74 degrees twice during the 12-hour period. || There was a four-hour period during which the temperature did not change.,The temperature was 74 degrees twice during the 12-hour period. || There was a four-hour period during which the temperature did not change.,340317
PRABFGZ8,1,Multiple Choice (select all),Check All That Apply,"<p>Which expressions represent the total area of the large rectangle? Select&nbsp;<strong>all&nbsp;</strong>that apply.&nbsp;<br><br></p>
<p><img src=""/images/assistments/167108.jpg"" alt=""A rectangle partitioned by a horizontal line segment into two smaller rectangles. The bottom horizontal is labeled 6 and the vertical side lengths are labeled n and m."" width=""104"" height=""205""></p>",,,6(m + n) || 6n + m || 6n + 6m || 6mn || (n + m)6,6(m + n) || 6n + 6m || (n + m)6,298817
PSBBMNB,1,Multiple Choice (select 1),Multiple Choice,"<p>Decide whether the equation is true or false.</p>
<p>&nbsp;</p>
<p><span><span><span>2</span><span><sup>3</sup>&nbsp;</span></span><span>=&nbsp;</span><span><span>3</span><sup><span>2</span></sup></span></span></p>",,0,True || False,FALSE,229183
PRABEDEK,1,Multiple Choice (select 1),Multiple Choice,"<p>Using the data in the scatter plot, what is a reasonable&nbsp;slope of a model that fits this data?</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/153207.jpg"" alt=""Scatter plot. Points start at 5, 1969 and trend right and up toward 26, 2010."" width=""407"" height=""252""></p>",,2,-2.5 || -1 || 1 || 2.5,2.5,36419
PSBCHHJ,1,Multiple Choice (select 1),Multiple Choice,"<p>Han was looking at the equation&nbsp;6x&nbsp;&minus;&nbsp;4&nbsp;+&nbsp;2(5x&nbsp;+&nbsp;2)&nbsp;=&nbsp;16x.</p>
<p>&nbsp;</p>
<p>He said, &ldquo;I can tell right away there are no solutions, because on the left side, you will have&nbsp;6x&nbsp;+&nbsp;10x&nbsp;and a bunch of constants, but you have just&nbsp;16x&nbsp;on the right side.&rdquo;</p>
<p>&nbsp;</p>
<p>Do you agree with Han?</p>",,,Yes || No,No,386445
PRABQPS5,1,Multiple Choice (select 1),Multiple Choice,<p>For which data set would the mean be a good way to describe the center of the data?</p>,,,"<p>white, blue, white, white, red</p> || <p><img src=""//resources.assistments.org/fetch/C/16e536c2-bb5c-494e-8ecf-da7276987397.jpeg"" width=""200""></p> || <p>79, 80, 80, 88, 90, 92, 94</p> || <p><img src=""//resources.assistments.org/fetch/C/d512671c-2b35-4302-b6c3-8a1c94317e79.jpeg"" width=""200""></p>","<p>79, 80, 80, 88, 90, 92, 94</p>",266182
PRABUUFB,1,Multiple Choice (select 1),Multiple Choice,"<p>State whether&nbsp;the following is in scientific notation.</p>
<p>&nbsp;</p>
<p>8.7 x 10<sup>-12</sup></p>",,,Already in scientific notation || Not in scientific notation,Already in scientific notation,258192
PSBCBCJ,3,Multiple Choice (select 1),Multiple Choice,"<p>On a later day, he asked the same group of 10 friends to throw a ball again and collected another set of data. The median of the second data set is 49 feet, and the IQR is 6 feet.</p>
<p>&nbsp;</p>
<p>Did the 10 friends, as a group, perform better (throw farther) in the second round compared to the first round?&nbsp;</p>",,,<p>Better</p> || <p>Worse</p>,<p>Worse</p>,350745
PRABQK68,1,Multiple Choice (select all),Check All That Apply,<p>Select&nbsp;<strong>all</strong> of the expressions that are equal to 2.</p>,,,"1,200 ÷ 60 || 1.2 ÷ 0.6 || 0.012 ÷ 0.06 || 0.5 ÷ 0.25 || 0.05 ÷ 0.025",1.2 ÷ 0.6 || 0.5 ÷ 0.25 || 0.05 ÷ 0.025,590847
PSBBUMX,1,Multiple Choice (select 1),Multiple Choice,"<p>Clare estimates that her brother is 4 feet tall. When they get measured at the doctor&rsquo;s office, her brother&rsquo;s actual height is 4 feet, 2 inches.</p>
<p>&nbsp;</p>
<p>Should Clare's or the doctor's measurement be considered the actual height?</p>",,,<p>Clare's measurement</p> || <p>Doctor's measurement</p>,<p>Doctor's measurement</p>,267340
PRABEDCN,1,Multiple Choice (select 1),Multiple Choice,"<p>Which of these statements is true about the data in the scatter plot?</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/153189.jpg"" alt=""A scatter plot is shown."" width=""364"" height=""240""></p>
<div style=""position: absolute; left: 157px; top: 339.5px;"">&nbsp;</div>",,,"As x increases, y tends to increase. || As x increases, y tends to decrease. || As x increases, y tends to stay unchanged. || x and y are unrelated.","As x increases, y tends to decrease.",173561
PSBCW78,1,Multiple Choice (select 1),Multiple Choice,"<div title=""Page 1"">
<div>
<div>
<p>Determine if the&nbsp;following&nbsp;is&nbsp;true or false.</p>
<p>&nbsp;</p>
<p>|-5l &lt; 3</p>
</div>
</div>
</div>",,0,True || False,FALSE,458234
PSBCE5U,1,Multiple Choice (select 1),Multiple Choice,"<p>At a farm, animals are fed bales of hay and buckets of grain. Each bale of hay is in the shape a rectangular prism. The base has side lengths&nbsp;2 feet and 3 feet, and the height is 5 feet. Each bucket of grain is a cylinder with a diameter of 3 feet. The height of the bucket is 5 feet, the same as the height of the bale.</p>
<p>&nbsp;</p>
<p>Which is larger in area, the rectangular base of the bale or the circular base of the bucket?&nbsp;</p>",,,Rectangular Base of the Bale || Circular Base of the Bucket,Circular Base of the Bucket,373493
PSBZT4,3,Multiple Choice (select 1),Multiple Choice,"<p>Decide whether the table could represent a proportional relationship.</p>
<p>&nbsp;</p>
<p>The number of wheels on a train.</p>
<p>&nbsp;</p>
<table style=""border-collapse: collapse; width: 47.5627%; height: 134px;"" border=""1"">
<tbody>
<tr>
<td style=""width: 33.3039%; text-align: center;""><strong>number of train cars</strong></td>
<td style=""width: 33.3039%; text-align: center;""><strong>number of wheels</strong></td>
<td style=""width: 33.3039%; text-align: center;""><strong>wheels per train car</strong></td>
</tr>
<tr>
<td style=""width: 33.3039%; text-align: center;"">20</td>
<td style=""width: 33.3039%; text-align: center;"">184</td>
<td style=""width: 33.3039%; text-align: center;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 33.3039%; text-align: center;"">30</td>
<td style=""width: 33.3039%; text-align: center;"">264</td>
<td style=""width: 33.3039%; text-align: center;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 33.3039%; text-align: center;"">40</td>
<td style=""width: 33.3039%; text-align: center;"">344</td>
<td style=""width: 33.3039%; text-align: center;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 33.3039%; text-align: center;"">50</td>
<td style=""width: 33.3039%; text-align: center;"">424</td>
<td style=""width: 33.3039%; text-align: center;"">&nbsp;</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>",,,"<p>Yes, it is proportional</p> || <p>No, it is not proportional</p>","<p>No, it is not proportional</p>",123722
PSBB4QM,2,Multiple Choice (select 1),Multiple Choice,"<p>If a compressed rubber sphere has a 6-inch width, is its height closer to 5 inches or to 11 inches?</p>",,,5 inches || 11 inches,5 inches,312938
PRABEPJR,1,Multiple Choice (select all),Check All That Apply,"<p>Here is a picture of the&nbsp;Rose Bowl Stadium&nbsp;in Pasadena, CA.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/157274.jpg"" alt=""A satellite image looking down on a stadium in the shape of an oval. The stadium is slightly wider than it is tall. "" width=""176"" height=""156""></p>
<p>&nbsp;</p>
<p>Here are some copies of the picture. Select&nbsp;<strong>all</strong>&nbsp;the pictures that&nbsp;are scaled copies of the original picture.</p>",,,"<p><img src=""//resources.assistments.org/fetch/C/580bda49-56fa-45ac-bf2d-cbee6a00c53f.jpeg"" alt=""4 images of the original picture of the Rose Bowl. These images each have different dimensions."" width=""294"" height=""257""></p> || <p><img src=""//resources.assistments.org/fetch/C/48b83b9b-5e26-4d9e-90f5-2e34d396149e.jpeg"" alt=""4 images of the original picture of the Rose Bowl. These images each have different dimensions."" width=""232"" height=""354""></p> || <p><img src=""//resources.assistments.org/fetch/C/1199c9ee-c028-4387-b6cb-0eb84a05d32c.jpeg"" alt=""4 images of the original picture of the Rose Bowl. These images each have different dimensions."" width=""295"" height=""147""></p> || <p><img src=""//resources.assistments.org/fetch/C/5308262d-106f-4f21-9189-af3ff2ef82cd.jpeg"" alt=""4 images of the original picture of the Rose Bowl. These images each have different dimensions."" width=""231"" height=""203""></p>","<p><img src=""//resources.assistments.org/fetch/C/580bda49-56fa-45ac-bf2d-cbee6a00c53f.jpeg"" alt=""4 images of the original picture of the Rose Bowl. These images each have different dimensions."" width=""294"" height=""257""></p> || <p><img src=""//resources.assistments.org/fetch/C/5308262d-106f-4f21-9189-af3ff2ef82cd.jpeg"" alt=""4 images of the original picture of the Rose Bowl. These images each have different dimensions."" width=""231"" height=""203""></p>",108663
PRABE3GW,1,Multiple Choice (select 1),Multiple Choice,<p>Which pair of base and height produces the greatest area? All measurements are in centimeters.</p>,,,"<p><em>b</em>=4, <em>h</em>=3.5</p> || <p><em>b</em>=0.8, <em>h</em>=20</p> || <p><em>b</em>=6, <em>h</em>=2.25</p> || <p><em>b</em>=10, <em>h</em>=1.4</p>","<p><em>b</em>=0.8, <em>h</em>=20</p>",503799
PSBCHZC,1,Multiple Choice (select all),Check All That Apply,"<p>Andre sometimes mows lawns on the weekend to make extra money. Two weeks ago, he mowed a neighbor&rsquo;s lawn for&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>2</mn></mfrac></math> hour and earned $10. Last week, he mowed his uncle&rsquo;s lawn for&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>3</mn><mn>2</mn></mfrac></math> hours and earned&nbsp;$30. This week, he mowed the&nbsp;lawn of a community center&nbsp;for 2 hours and earned&nbsp;$30.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Which jobs paid better than others?&nbsp;</p>
<p>&nbsp;</p>",,,<p>Neighbor's Lawn</p> || <p>Uncle's Lawn</p> || <p>Community Center</p>,<p>Neighbor's Lawn</p> || <p>Uncle's Lawn</p>,389028
PSBBY9D,1,Multiple Choice (select 1),Multiple Choice,"<p>The equation&nbsp;<span><span><span><span>a&nbsp;</span><span>+&nbsp;</span><span>b&nbsp;</span><span>=&nbsp;</span><span>c</span></span></span></span>&nbsp;could be true or false.</p>
<p>&nbsp;</p>
<p>If&nbsp;<span><span><span><span>a</span></span></span></span>&nbsp;is 3,&nbsp;<span><span><span><span>b</span></span></span></span>&nbsp;is 4, and&nbsp;<span><span><span><span>c</span></span></span></span>&nbsp;is 5, is the equation true or false?</p>
<div style=""position: absolute; left: 130px; top: 112.447px;"">&nbsp;</div>",,0,True || False,FALSE,293491
PRABD45A,1,Multiple Choice (select all),Check All That Apply,"<p>Select <strong>all</strong> the&nbsp;sequences of transformations <em>could</em> take figure P to figure Q.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/150002.jpg"" width=""258"" height=""261""></p>",,,"a single reflection || a single rotation || a single translation || a translation, then a reflection || a reflection, then a different reflection","a single rotation || a reflection, then a different reflection",40714
PRABPUJG,1,Multiple Choice (select all),Check All That Apply,<p>Select<strong>&nbsp;all</strong>&nbsp;the relationships that demonstrate a positive association between variables.</p>,,,Outside temperature and cost to heat a home || Length of time you have walked and distance you have traveled || Pounds of cherries you buy and amount of money you spend on cherries || Speed of a train and the amount of time it takes for the train to get to its destination || Number of people in a grocery check-out line and how long you have to wait to check out,Length of time you have walked and distance you have traveled || Pounds of cherries you buy and amount of money you spend on cherries || Number of people in a grocery check-out line and how long you have to wait to check out,296937
PSBHNF,1,Multiple Choice (select 1),Multiple Choice,"<p>Noah is interested in comparing the number of movies watched by students and teachers over the winter break. He takes a random sample of 10 students and 10 teachers and makes a dot plot of their responses.<br><br></p>
<p>Students:</p>
<p><img src=""https://cms-k12oer-staging.s3.amazonaws.com/uploads/pictures/7/7.8.C8.Image.03-Students.png"" alt=""A dot plot for &ldquo;movies watched over break&rdquo; titled &quot;Students.&quot; The numbers 0 through 8 are indicated. The data are as follows:  4 movies, 1 dot. 5 movies, 3 dots. 6 movies, 4 dots. 7 movies, 2 dots."" width=""300"" height=""100""></p>
<p>Teachers:</p>
<p><img src=""https://cms-k12oer-staging.s3.amazonaws.com/uploads/pictures/7/7.8.C8.Image.03-Teachers.png"" alt=""A dot plot for &ldquo;movies watched over break&rdquo; titled &quot;Teacher.&quot; The numbers 0 through 8 are indicated. The data are as follows:  1 movie, 1 dot. 2 movies, 4 dots. 3 movies, 3 dots. 4 movies, 1 dot. 5 movies, 1 dot."" width=""300"" height=""100""></p>
<p><br>Noah then computes the measures of center and variability for each group:</p>
<ul>
<li>Students: Mean = 5.7 movies, MAD = 0.76 movies</li>
<li>Teachers: Mean = 2.7 movies,&nbsp;MAD = 0.9 movies</li>
</ul>
<p>&nbsp;</p>
<p>Is Noah's choice of mean and MAD appropriate for the data he has?&nbsp;</p>",,,Yes || No,Yes,39360
PRABEC25,1,Multiple Choice (select all),Check All That Apply,"<div>
<p>Here is the graph of a linear equation.&nbsp;&nbsp;</p>
<p>&nbsp;</p>
<p>Select&nbsp;<strong>all</strong>&nbsp;true statements about the line and its equation.</p>
</div>
<div>&nbsp;</div>
<div><img src=""//resources.assistments.org/fetch/C/ed6e107b-6e2d-4153-bb93-825869a213bf.png"" alt=""Graph with a line on it. X-axis labeled from -3 to 3 increasing by 1. Y-axis labeled from -1 to 2 increasing by 1."" width=""914"" height=""566""></div>",,,"<p>One solution of the equation is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mn>3</mn><mo>,</mo><mo>&#160;</mo><mn>2</mn><mo>)</mo></math>.</p> || <p>One solution of the equation is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mo>-</mo><mn>1</mn><mo>,</mo><mo>&#160;</mo><mn>1</mn><mo>)</mo></math>.</p> || <p>One solution of the equation is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mn>1</mn><mo>,</mo><mo>&#160;</mo><mfrac><mn>3</mn><mn>2</mn></mfrac><mo>)</mo></math>.</p> || <p>There are 2 solutions.</p> || <p>There are infinitely many solutions.</p> || <p>The equation of the line is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mfrac><mn>1</mn><mn>4</mn></mfrac><mi>x</mi><mo>&#160;</mo><mo>+</mo><mo>&#160;</mo><mfrac><mn>5</mn><mn>4</mn></mfrac></math>.</p> || <p>The equation of the line is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mfrac><mn>5</mn><mn>4</mn></mfrac><mi>x</mi><mo>&#160;</mo><mo>+</mo><mo>&#160;</mo><mfrac><mn>1</mn><mn>4</mn></mfrac></math>.</p>","<p>One solution of the equation is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mn>3</mn><mo>,</mo><mo>&#160;</mo><mn>2</mn><mo>)</mo></math>.</p> || <p>One solution of the equation is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mo>-</mo><mn>1</mn><mo>,</mo><mo>&#160;</mo><mn>1</mn><mo>)</mo></math>.</p> || <p>One solution of the equation is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mn>1</mn><mo>,</mo><mo>&#160;</mo><mfrac><mn>3</mn><mn>2</mn></mfrac><mo>)</mo></math>.</p> || <p>There are infinitely many solutions.</p> || <p>The equation of the line is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mfrac><mn>1</mn><mn>4</mn></mfrac><mi>x</mi><mo>&#160;</mo><mo>+</mo><mo>&#160;</mo><mfrac><mn>5</mn><mn>4</mn></mfrac></math>.</p>",331521
PRABQPRE,1,Multiple Choice (select 1),Multiple Choice,"<p>A rectangular pyramid is sliced. The slice passes through the vertex of the pyramid and is perpendicular to the base of the pyramid.&nbsp;</p>
<p>&nbsp;</p>
<p>Which of these describes the cross section?&nbsp;</p>
<p><img src=""/images/assistments/420353.jpg"" alt=""A drawing of a square pyramid."" width=""264"" height=""240""></p>",,,A rectangle smaller than the base || A quadrilateral that is not a rectangle || A rectangle the same size as the base || A triangle with a height the same as the pyramid,A triangle with a height the same as the pyramid,348992
PRABFENR,1,Multiple Choice (select 1),Multiple Choice,"<p>Before refrigerators existed, some people had blocks of ice delivered to their homes.</p>
<p>&nbsp;</p>
<p>A delivery wagon had a storage box in the shape of a rectangular prism that was&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>7</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math> feet by 6 feet by 6 feet. The cubic ice blocks stored in the box had side lengths&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math> feet.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>How many ice blocks fit in the storage box?</p>",,,"<p>270</p> || <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>3</mn><mfrac><mn>3</mn><mn>8</mn></mfrac></math></p> || <p>80</p> || <p>180</p>",<p>80</p>,277396
PSBR2X,1,Multiple Choice (select 1),Multiple Choice,"<p>Han and Tyler are following a polenta recipe that uses 5 cups of water for every 2 cups of cornmeal.</p>
<p>&nbsp;</p>
<ul>
<li>Han says, &ldquo;I am using 3 cups of water. I will need&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1</mn><mo>&#160;</mo><mfrac><mn>1</mn><mn>5</mn></mfrac></math>&nbsp;cups of cornmeal.&rdquo;</li>
<li>Tyler says, &ldquo;I am using 3 cups of cornmeal. I will need&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>7</mn><mo>&#160;</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></math>&nbsp;cups of water.&rdquo;</li>
</ul>
<p>&nbsp;</p>
<p>Do you agree with either of them?</p>",,,I agree with Han || I agree with Tyler || I agree with both || I don't agree with either,I agree with both,78262
PRABPQ5B,1,Multiple Choice (select all),Check All That Apply,"<p>The equation <img style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=6597606b024f03033c62db63de789951&amp;cw=64&amp;ch=17&amp;cb=16"" alt=""x squared space equals space 25"" width=""64"" height=""17"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;msup&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;25&laquo;/mn&raquo;&laquo;/math&raquo;"">&nbsp;has two solutions. This is because both <img style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=41bd06865590954e485a246c19fefdb9&amp;cw=90&amp;ch=13&amp;cb=12"" alt=""5 space cross times space 5 space equals space 25"" width=""90"" height=""13"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#215;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;25&laquo;/mn&raquo;&laquo;/math&raquo;"">&nbsp;, and also&nbsp;<img style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=6952895802e236bdd77f440a18ec4b8e&amp;cw=116&amp;ch=13&amp;cb=12"" alt=""short dash 5 space cross times space short dash 5 space equals space 25"" width=""116"" height=""13"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mo&raquo;&sect;#8208;&laquo;/mo&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#215;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#8208;&laquo;/mo&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;25&laquo;/mn&raquo;&laquo;/math&raquo;"">. So, 5 is a solution, and also -5 is a solution.</p>
<p><br>Select <strong>all</strong> the equations that have a solution of -4.</p>",,,10 + x = 6 || 10 - x = 6 || -3x = -12 || -3x = 12 || 8 = x² || x² = 16,10 + x = 6 || -3x = 12 || x² = 16,412709
PRABEUGJ,1,Multiple Choice (select all),Check All That Apply,<p>Select&nbsp;<strong>all</strong>&nbsp;the expressions that are the result of decreasing&nbsp;<em>x</em>&nbsp;by 80%.</p>,,,"<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>20</mn><mn>100</mn></mfrac><mi>x</mi></math></p> || <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo>&nbsp;</mo><mo>-</mo><mo>&nbsp;</mo><mfrac><mn>80</mn><mn>100</mn></mfrac><mi>x</mi></math></p> || <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>100</mn><mo>&nbsp;</mo><mo>-</mo><mo>&nbsp;</mo><mn>20</mn></mrow><mn>100</mn></mfrac><mi>x</mi></math></p> || <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0</mn><mo>.</mo><mn>80</mn><mi>x</mi></math></p> || <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mn>1</mn><mo>&nbsp;</mo><mo>-</mo><mo>&nbsp;</mo><mn>0</mn><mo>.</mo><mn>8</mn><mo>)</mo><mi>x</mi></math></p>","<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>20</mn><mn>100</mn></mfrac><mi>x</mi></math></p> || <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo>&nbsp;</mo><mo>-</mo><mo>&nbsp;</mo><mfrac><mn>80</mn><mn>100</mn></mfrac><mi>x</mi></math></p> || <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mn>1</mn><mo>&nbsp;</mo><mo>-</mo><mo>&nbsp;</mo><mn>0</mn><mo>.</mo><mn>8</mn><mo>)</mo><mi>x</mi></math></p>",375713
PSBBR5Q,1,Multiple Choice (select 1),Multiple Choice,"<p>Ten sixth-grade students reported the hours of sleep they get on nights before a school day. Their responses are recorded in the dot plot.<br><br></p>
<p><img src=""/images/assistments/168469.jpg"" alt=""A dot plot, hours of sleep, 5 to 12 by 1's.&nbsp; Beginning at 5, the number of dots above each increment is 1, 1, 3, 3, 2, 0, 0, 0."" width=""285"" height=""91""><br><br></p>
<p>Looking at the dot plot, Lin estimated the mean number of hours of sleep to be 8.5 hours. Noah's estimate was&nbsp;7.5 hours.&nbsp;Diego's estimate was&nbsp;6.5 hours.</p>
<p>&nbsp;</p>
<p>Which estimate&nbsp;do you think is&nbsp;best?</p>",,,Lin's estimate || Noah's estimate || Diego's estimate,Noah's estimate,253594
PSBBMQF,1,Multiple Choice (select 1),Multiple Choice,"<p>Decide whether the equation is true or false.</p>
<p>&nbsp;</p>
<p><span><span><span>16</span><span><sup>1</sup>&nbsp;</span></span><span>=&nbsp;</span><span><span>8</span><sup><span>2</span></sup></span></span></p>",,0,True || False,FALSE,229517
